,mod
567,SUNNY2
568,5090Y
569,G8141
570,GLOW 10.1 3G 3.1 8GB
571,NX505J
572,iris 512
573,LAIQ Dubai
574,Fun +
575,SM-N950N
576,M4 SS1070
577,Philips_S307
578,HUAWEI Y336-U02
579,ZP953
580,XT1097
581,Moto G (5S)
582,SM-J200G
583,AGS-W09
584,SM-T116NU
585,SM-T580
586,LG-K350
587,BV6000
588,itel it1409
589,GT-I9082
590,XT1650
591,INFINIX-X551
592,Calypso AppCrawler
593,LG-H540
594,Pixel XL
595,LG-V400
596,MIX 2
597,ASUS_X00DDA
598,LS-4505
599,T1
600,Plus E
601,ZTE Blade L3
602,AOSP on ARM Emulator
603,K9 Smart 1GB
604,XT1058
605,ZTE A2017
606,Moto G (5S) Plus
607,ASUS_Z012DC
608,SM-G900M
609,XT1635-02
610,SM-G925I
611,LG-M400
612,LG-H422
613,XT1078
614,LG-K580
615,Lenovo A6020l36
616,ASUS_Z017DC
617,SM-J105B
618,XT1069
619,SM-G360BT
620,SM-A500M
621,P6000 Pro
622,XT1033
623,Moto X Play
624,SM-A510M
625,SM-G570M
626,Moto E (4) Plus
627,LG-M250
628,ASUS_X008DB
629,SM-T210R
630,SM-G532MT
631,GT-I9192
632,Moto G
633,XT1040
634,ASUS_X013D
635,SM-G928G
636,V502430
637,MotoG3-TE
638,SM-J700M
639,MS45S
640,Tablet_DL_3420
641,E2124
642,5010E
643,Xperia SP
644,Lenovo P70-A
645,D6633
646,SM-N910C
647,ASUS_Z00XS
648,XT1225
649,TA-1004
650,XT1095
651,SM-G610M
652,XT1580
653,HT17Pro
654,ZUK Z2131
655,HTC_E9pw
656,A19 Plus
657,D2306
658,Quantum MUV PRO
659,SM-G531BT
660,5047Y
661,ASUS_A002
662,NX511J
663,SUNNY
664,G8342
665,GT-S7582L
666,LG-M320
667,ASUS_Z01KD
668,MI 4LTE
669,xiaomi-1s
670,G8142
671,LGUS997
672,Gemini Pro
673,Micromax Q4101
674,PAM412
675,SM-A510Y
676,Nexus 11
677,GT-N8000
678,P028
679,Lenovo TAB 2 A10-70F
680,lephone_W7
681,HT37Pro
682,GT-I8552B
683,S8
684,Sunny2 Plus
685,LG-H990
686,Moto G4
687,ELUGA_I5
688,Coolpad 3632A
689,SM-G955U
690,CUBOT DINOSAUR
691,VOLT
692,P01MA
693,Mi4c
694,SM-J100VPP
695,LG-H873
696,LG-v410
697,H220
698,Moto G4 Plus
699,XT1572
700,ONEPLUS A5010
701,XT1685
702,MI 4
703,Xperia Z3
704,XT1663
705,PRO 5
706,Lenovo P1ma40
707,SM-N910G
708,SGH-I337M
709,HTC One A9
710,SHIELD Tablet K1
711,5046D
712,INTEX AQUA LIONS 4G
713,ASUS_Z00LD
714,U15 Pro
715,Armor_2
716,SGH-I257M
717,ALEXIS RX5 DC
718,G1
719,Nexus 7 3G
720,Camfone SE
721,Lenovo P780
722,E-Boda Sunny V37
723,SM-N950U
724,GT-N5110
725,DEFI IGNITE
726,XT1801
727,P5 mini
728,CUBOT X18
729,s660
730,MITO_A69
731,SM-J105M
732,SM-T533
733,FP2
734,i5
735,BV8000Pro
736,SANTIN #Armor
737,XT1575
738,SM-G110B
739,Lenovo K33a48
740,P027
741,vivo 1714
742,C5-S508
743,Lenovo TB3-710F
744,CINK PEAX
745,Amosta3G5
746,Lenovo A606
747,K6
748,ASUS_Z012DA
749,SM-J105F
750,Kindle Fire HDX 7
751,LG-K410
752,LG-D337
753,LG-H830
754,Mi Max
755,Ultra Energy
756,TECNO L8 Lite
757,MediaPad 7 Vogue
758,SM-T705
759,Halo
760,KFGIWI
761,SGP621
762,Full Android on Emulator
763,P9000_Lite
764,ASUS_X00HD
765,Admire_Dragon
766,LG-M153
767,ANE-LX1
768,Moto C Plus
769,BLA-L29
770,DROID RAZR HD
771,LG-F800K
772,SM-G930V
773,moto x4
774,SM-G930P
775,LEX727
776,Pixel 2
777,SM-T813
778,FREEDOM C105
779,SM-G950U
780,SM-G960F
781,BL7000
782,MI PAD
783,SM-G955N
784,Max3_Pro_LTE
785,Q8S55IN4G2
786,SM-T211
787,LG-E975
788,X15
789,SM-G355H
790,S2
791,SM-J100M
792,X53
793,G8341
794,Redmi Note 5 Pro
795,Monaco
796,ZTE Q501U
797,WAS-AL00
798,HTC Desire 530
799,SUGAR Y7 MAX
800,ALE-L23
801,SM-J111M
802,vivo 1606
803,GT-S7582
804,Infinix X559C
805,Micromax C1
806,SM-G360H
807,5015E
808,Micromax Q409
809,LM-X210(G)
810,i4C
811,Philips S308
812,Xlife-480q
813,Redmi 5A
814,SM-G900R7
815,LG-H502
816,GT-I8200
817,LG-LS777
818,LGMS330
819,Micromax Q391
820,Admire SXY
821,ASUS_Z008D
822,SM-J701F
823,P7 Max
824,Desire R6
825,R40H
826,HUAWEI Y625-U32
827,SM-G610Y
828,Aqua Air II
829,Coolpad 3600I
830,SM-T113
831,CRO-L03
832,L52
833,SM-J510GN
834,SM-J600G
835,itel-it1520
836,Micromax Q4001
837,POLYTRON 4G450
838,Andromax A16C3H
839,HUAWEI Y560-L01
840,SM-E500H
841,SM-J110H
842,R815
843,P55 Max
844,XT1254
845,Micromax Q415
846,vivo 1610
847,GT-I8200L
848,SM-E700H
849,QMobile i6i
850,vivo Y51L
851,SM-J320G
852,Z851M
853,SM-T111
854,Micromax Q402
855,MOON
856,GT-I9100
857,Griffe T3
858,PGN610
859,LGLS676
860,SM-G7102
861,A466BG
862,SM-J120M
863,Z60
864,GT-I9082L
865,K9 Smart 4G
866,BND-L31
867,S4M
868,SC-01G
869,BLU STUDIO G2
870,MyPhone Agua Rio
871,GT-N7000
872,GT-S6293T
873,E
874,SM-J727T1
875,Z965
876,Alcatel_5044C
877,Thrill Boost 2
878,MITO A91
879,Micromax Q394
880,LG-X230
881,SM-S727VL
882,SAMSUNG-SM-G530A
883,GT-I8200N
884,SM-G900T
885,SM-G900H
886,LG-K425
887,A77
888,SAMSUNG-SM-N910A
889,ILIUM S670
890,AX820
891,SM-J200M
892,Z993
893,N9136
894,IS2_Plus
895,Z899VL
896,Coolpad E502
897,TM800A612RG
898,SM-G532M
899,Z10
900,SM-J106B
901,Ilium L910
902,LG-H831
903,Fractal
904,SM-G313HZ
905,MS40S
906,Infinit_X_CAM
907,HUAWEI Y520-U03
908,GT-S6310
909,Gpad 706
910,Atom 2X
911,LG-K430
912,Joy Pro
913,A37fw
914,Excite Prime
915,M8 Pro
916,LG-D850
917,Redmi Y1 Lite
918,Infinix X573
919,Konnect Grand
920,SM-T805Y
921,U2S
922,Le X509
923,LG-K200
924,CliQ
925,RCT6873W42
926,SM-J700F
927,GT-I9300I
928,HTC Desire 628 dual sim
929,A75
930,moto g(6) play
931,A41 Power
932,SM-J210F
933,POLYTRON_R2403
934,HUAWEI Y300-0151
935,SM-J320P
936,RCT6513W87
937,Lenovo A319
938,Le X507
939,iris505
940,Gorgeo 4GL
941,SM-N900V
942,HUAWEI Y360-U103
943,Z957
944,vivo Y21
945,HTC Desire 600 dual sim
946,LGLS450
947,SM-G615F
948,JUMBO
949,GT-S7270
950,MACHONE
951,HP Slate 7
952,SM-J105H
953,Hisense F23
954,ES712
955,Lenovo A1000m
956,Impress_Eagle
957,Titanium Octane
958,PAD_7
959,7200
960,vivo Y31L
961,Elite 4G
962,SM-J120G
963,A33w
964,Micromax E485
965,SM-J730GM
966,HUAWEI LUA-U22
967,LG-F180K
968,LG-D165AR
969,QMobile X700 PRO II
970,MITO A880
971,FS506
972,Micromax E455
973,Y541-U02
974,COMIO C2
975,K-3
976,GT-S6792L
977,SAMSUNG-SM-N900A
978,HTC Desire 620G dual sim
979,5045T
980,S7C
981,LGMS631
982,Micromax HS2
983,ST01
984,SM-G318HZ
985,2014818
986,SM-G532G
987,5038D
988,Lenovo A2016b30
989,Moto E (4)
990,itel S31
991,F555
992,LS-5020
993,A250
994,Aqua 3G Pro
995,QMobile W50
996,Blade A310
997,Micromax A106
998,Z798BL
999,L-EMENT 553
1000,GT-I9060C
1001,ECHO_HOLI
1002,Aura_TELPAD_TM7_tablet
1003,LG-K373
1004,Micromax Q301
1005,vivo Y15
1006,vivo Y21L
1007,GT-S7580
1008,QMobile i2
1009,SM-J327P
1010,D7061
1011,Lenovo A2010-l
1012,Astra NXT 4G
1013,TECNO F7
1014,STV100-2
1015,vivo V3Max
1016,Micromax Q346
1017,HTC Desire 626s
1018,Tab2A7-20F
1019,A52
1020,ALCATEL ONE TOUCH 4037T
1021,ONE TOUCH 4033A
1022,D2533
1023,S50F
1024,SM-G530M
1025,CPH1725
1026,SM-G531H
1027,5010S
1028,SM-G900P
1029,SM-S327VL
1030,Lenovo A7700
1031,5049W
1032,Micromax Q413
1033,MITO A73
1034,intel7QC
1035,TZ720
1036,SM-J111F
1037,ALCATEL ONE TOUCH 5020A
1038,LG-D393
1039,SM-S120VL
1040,Alcatel_5044R
1041,AX680+
1042,Lenovo YT3-X50F
1043,A11w
1044,SM-G3502L
1045,ZTE BLADE A210
1046,SM-G313HN
1047,LG-D693n
1048,LG-X220
1049,CAM-L03
1050,9020A
1051,VS425PP
1052,N817
1053,A8
1054,Lenovo A6010
1055,P5L
1056,LG-E612g
1057,Polaroid PSPC505
1058,SM-G318ML
1059,SM-G900T1
1060,aQUa COSTA
1061,PICOphone M4S(M2/M)
1062,i6S+PRO
1063,RCT6K03W13
1064,GT-P3100
1065,SAMSUNG-SGH-I747
1066,CPH1609
1067,Redmi 5
1068,iris 505c
1069,LS-4508
1070,Pixel V2
1071,Micromax Q4201
1072,HTC Desire 828 dual sim
1073,5041
1074,ALCATEL ONE TOUCH 7040A
1075,SM-J110G
1076,SM-G6000
1077,CAM-UL00
1078,S50C
1079,HTC Desire 616 dual sim
1080,Ilium LT500
1081,QMobile I3
1082,vivo X9
1083,SVEGLIO_H1
1084,K88
1085,NH001
1086,ADMIRE_UNITY
1087,NIU ANDY 5.5E2I
1088,GT-I9070
1089,MYA-U29
1090,EVERCOSS A7B
1091,HUAWEI CUN-U29
1092,ZTE Blade A462
1093,QMobile X700 PRO
1094,Nokia 6.1
1095,SM-J100F
1096,XT1063
1097,BRAVIS X500
1098,SM-G360M
1099,Royal R1
1100,S5E_NXT
1101,QMobile S3
1102,Admire Thrill+
1103,LG-D175f
1104,R831K
1105,Lenovo K33a42
1106,A1603
1107,SGH-T999L
1108,Nokia 2
1109,SM-G355M
1110,U22
1111,Galaxy s7 edge
1112,PGN605
1113,Ufeel 4G
1114,Speed55
1115,5049Z
1116,RCT6973W43MD
1117,RCT6303W87M7
1118,COMIO S1 Lite
1119,Lenovo A7020a48
1120,GT-I9200
1121,GT-S5282
1122,Micromax A107
1123,K90U
1124,Aqua Trend
1125,LGMP260
1126,ASUS_T00G
1127,Z981
1128,Omega-X
1129,C6503
1130,5056X
1131,vivo 1601
1132,SHV-E210K
1133,Lenovo A850
1134,LTE3
1135,S5E New
1136,SAMSUNG-SM-J327AZ
1137,LS-5505
1138,5015D
1139,SM-J110M
1140,vivo 1611
1141,Flare_J3_Lite
1142,8063
1143,BLU Advance 5.0
1144,ADVAN M4
1145,SM-A310N0
1146,SM-T350
1147,Z557BL
1148,RCT6973W43
1149,LG-P880
1150,HUAWEI SCL-U31
1151,Blade L2
1152,5045A
1153,ZTE Kis II Max
1154,PSP5506DUO
1155,HUAWEI CUN-L03
1156,PSP5552DUO
1157,coolpad E2
1158,Lenovo TB-X103F
1159,M4 SS4045
1160,HT7
1161,iris 450P
1162,Hol-U19
1163,HUAWEI Y560-U02
1164,QMobile X250
1165,HUAWEI Y360-U61
1166,S5J
1167,LIMIT
1168,Micromax Q402 Ultra
1169,Z835
1170,1201
1171,Lenovo A1000
1172,Lenovo TB-7304I
1173,QMobile A290
1174,Tab 1_3G
1175,INTEX AQUA A4
1176,vivo V3
1177,Positivo Twist M
1178,YU4711
1179,SM-J500G
1180,S4Z
1181,SM-N916K
1182,Konnect_Star
1183,HUAWEI Y360-U82
1184,A75B
1185,SAMSUNG-SM-T377A
1186,Duopix F9
1187,Cloud 3G Gem
1188,Infinix X510
1189,itel A40
1190,A65B
1191,QMobile i6 Metal ONE
1192,Micromax Q4202
1193,QMobile i7i PRO
1194,S455
1195,SM-J327T1
1196,MediaPad 7 Youth 2
1197,GT-I9063T
1198,DLI-TL20
1199,X1
1200,LGMS210
1201,Smart MAX
1202,Andromax B16C2H
1203,AT7J+
1204,EGO
1205,QMobile i12
1206,LG-F320K
1207,GT-I8160
1208,A5
1209,Infinix X572
1210,SM-G550FY
1211,E5
1212,TB5400
1213,XT1030
1214,J5
1215,K9 VIRAAT 4G
1216,LGL16C
1217,K012
1218,Infinix X507
1219,LG-H811
1220,Tab 5
1221,Coolpad 3320A
1222,T89
1223,PixelV1
1224,Z50
1225,SM-G925T
1226,COMIO P1
1227,Archos Access 45 4G
1228,C1904
1229,LAVA_A44
1230,Redmi Note 5A
1231,SM-J250F
1232,K-1
1233,LGUS215
1234,HTC Desire 310 dual sim
1235,Twist (2018)
1236,SM-J106H
1237,Infinix HOT 4
1238,1032
1239,SH-06E
1240,R5C
1241,4034E
1242,X3
1243,London
1244,SCH-I545
1245,M4 SS4457
1246,BLU STUDIO G
1247,Atom 2
1248,RCT6203W46
1249,4032D
1250,LG-TP260
1251,N818S
1252,SM-G892A
1253,TECNO-Y2
1254,LGMS550
1255,LG-E450
1256,BOLT 5.5
1257,REVVLPLUS C3701A
1258,Moto C
1259,A97
1260,LG-V521
1261,SM-G360P
1262,LG-M154
1263,LGL52VL
1264,LGL44VL
1265,SM-S550TL
1266,P2S
1267,Andromax B26D2H
1268,WE S1
1269,S45
1270,TAB-6122-8G3G
1271,QMobile CS1 Plus
